N-грамма,Предложение,Контекст до,Контекст после
позволяет найти решение,"№ 12
Исследование USB-накопителей в работе судебного компьютерно-технического эксперта После завершения указанной процедуры эксперт переходит к использованию «системы решений», которая позволяет найти решение по восстановлению данных для комплекса PC-3000 flash (рис.",2017.,8).
противоположное направление,Для снятия механической блокировки необходимо передвинуть рычаг в противоположное направление [8].,Обычно он располагается на боковой части носителя и отмечается значком замка.,"Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9]."
уделять,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал.","Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",2017.
структура,Структура USB-накопителя.,"Кроме того, существует множество производителей данных устройств, выпускающих USB-накопители с различным объемом памяти (до 1 Тбайт) и различной пропускной способностью (USB 2.0, 3.0, 3.1 и др.).",Устройство USB-накопителя может включать в себя до восьми составляющих элементов (рис.
задача,Была поставлена задача: найти пользовательские текстовые файлы (в том числе заархивированные) на USB-накопителе.,"10, 11).",Рис.
федерация аннотация,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
раздел,"В разделе Control создаем раздел StorageDevicePolicies, в котором устанавливаем параметр WriteProtect (тип dword).",Для этого нажатием клавиши Пуск — regedit заходим в реестр — HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control.,Изменяем значение параметра с 0 (режим записи) на 1 (режим чтения) (рис.
пропускной способностью,"Кроме того, существует множество производителей данных устройств, выпускающих USB-накопители с различным объемом памяти (до 1 Тбайт) и различной пропускной способностью (USB 2.0, 3.0, 3.1 и др.).","Это — набор микросхем, в чипах которых способна храниться цифровая информация, поэтому нет необходимости использовать батарейки или аккумуляторы при работе с устройством.",Структура USB-накопителя.
способны сочетать,"Актуальность исследования USB-накопителей обусловлена их широким использованием в настоящее время, поскольку это наиболее удобные и практически незаменимые переносные устройства для хранения данных, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема информации.","Баумана, 2017 Введение.","В связи с этим данные устройства нередко становятся объектами исследования при проведении судебной компьютерно-технической экспертизы, поскольку могут содержать криминалистически важную информацию."
способны сочетать,"Результат исследования Обобщая все вышеизложенное, можно сделать вывод о том, что на сегодняшний день USB-накопители являются наиболее удобными и практически незаменимыми переносными устройствами для хранения и чтения/записи информации, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема данных, поэтому USB-накопитель часто становится объектом экспертного исследования в рамках проведения судебной компьютерной технической экспертизы.",19.,"Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи."
индикатор,"Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7].",При выходе из строя компьютер определяет USB-накопитель как «неизвестное устройство» или просто его «не видит».,"Некоторыми производителями USB-накопителей реализуется механическая защита от изменений в виде переключателя (защита от записи), разрешающего или запрещающего запись."
молодежный журнал,Политехнический молодежный журнал.,1) [3].,2017.
молодежный журнал,Современный USB-накопитель в разобранном виде (производитель SAnDick Cruzer Facet; 2 Гбайта) 2 Политехнический молодежный журнал.,2.,2017.
молодежный журнал,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал.","Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",2017.
молодежный журнал,USB-устройство Transcend с выпаянной микросхемой памяти: а — контроллер; б — микросхема памяти 4 Политехнический молодежный журнал.,3.,2017.
молодежный журнал,6) и запустить проПолитехнический молодежный журнал.,В дальнейшем необходимо выбрать опцию «чтение микросхемы» (рис.,2017.
молодежный журнал,Чтение микросхемы памяти 6 Политехнический молодежный журнал.,7.,2017.
молодежный журнал,Политехнический молодежный журнал.,При исследовании USB-накопителей помимо аппаратно-программного комплекса PC-3000 flash в экспертной практике широко применяется программный комплекс Encase Forensic Assistant.,2017.
молодежный журнал,8 Политехнический молодежный журнал.,"Поэтому эксперту важно знать, как «запретить» компьютеру вносить какие-либо изменения в подключенные к нему устройства.",2017.
молодежный журнал,Запуск комплекса и заполнение начальных данных Политехнический молодежный журнал.,13.,2017.
молодежный журнал,10 Политехнический молодежный журнал.,16).,2017.
молодежный журнал,Политехнический молодежный журнал.,"Таким образом, путем совершения нескольких манипуляций программа Encase Forensic позволяет успешно решить поставленную перед экспертом задачу.",2017.
молодежный журнал,12 Политехнический молодежный журнал.,URL: http://otnaspodarok.ru/v-chemotlichiya-fleshek-usb-3-0-ot-usb-2-0/ (дата обращения 10.09.2017).,2017.
молодежный журнал,Политехнический молодежный журнал.,"Баумана, Москва, Российская Федерация.",2017.
молодежный журнал,"Moscow, Yurlitinform publ., 2017, 304 p. 14 Политехнический молодежный журнал.",Elektronnye nositeli informatsii v kriminalistike [Electronic data storage devices in criminalistics].,2017.
молодежный журнал,Политехнический молодежный журнал.,"Skvortsova, Assistant, Department of Computer Systems and Networks, Bauman Moscow State Technical University, Moscow, Russian Federation.",2017.
доказательственное значение,"Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",Для снятия механической блокировки необходимо передвинуть рычаг в противоположное направление [8].,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал."
запоминающее устройство,"USB-накопитель — это запоминающее устройство, используемое для хранения и записи данных с интегрированным интерфейсом USB [1].","В связи с этим данные устройства нередко становятся объектами исследования при проведении судебной компьютерно-технической экспертизы, поскольку могут содержать криминалистически важную информацию.","Все данные записываются и хранятся в микросхеме памяти, для записи и чтения которых необходимо подключить USB-накопитель в любое считывающее устройство, где предусмотрен интерфейс USB [2]."
состояние,Недопустимо вносить изменения в первоначальное состояние информационной составляющей объекта исследования.,"Для этого нужно выбрать Create image-Physical drive: E01–Compression (0–9)–Finish– Start, с которым эксперт может производить любые манипуляции.",Поэтому эксперт работает непосредственно с созданным образом.
окно,Окно работы комплекса PC-3000 flash Рис.,Инициализация Flash-reader.,5.
совпасть,"4), выпаянная микросхема памяти вставляется в устройство со строгим соблюдением методических рекомендаций, а именно: кружочек, отмеченный на микросхеме, должен совпасть с обозначением (синим флажком) на аппаратуре, в противном же случае данные могут быть утеряны (рис.",После того как пройдет инициализация (рис.,5).
научный,Научный руководитель — М.А.,"Баумана, Москва, Российская Федерация.","Скворцова, ассистент кафедры «Информационное управление 6», МГТУ им."
время,"Актуальность исследования USB-накопителей обусловлена их широким использованием в настоящее время, поскольку это наиболее удобные и практически незаменимые переносные устройства для хранения данных, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема информации.","Баумана, 2017 Введение.","В связи с этим данные устройства нередко становятся объектами исследования при проведении судебной компьютерно-технической экспертизы, поскольку могут содержать криминалистически важную информацию."
время,"В первую очередь это обусловлено тем, что сфера использования USB-памяти типа NOR применяется для хранения небольшого объема данных (до 256 Мбайт), что недопустимо при разработке USB-накопителей, в то время как USB-память типа NAND предназначена для хранения большого объема данных.",В USB-накопителях используется память типа NAND.,"Кварцевый резонатор используется для построения опорной частоты, необходимой для функционирования логики контроллера и флэш-памяти."
время,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал.","Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",2017.
считать,"Прежде чем начать работу, эксперт должен выпаять микросхему памяти из основной конструкции (при температуре 320–350 °C), причем так, чтобы «ножки» микросхемы не были повреждены, поскольку возрастает вероятность того, что комплекс восстановит только часть данных или вообще не сможет считать микросхему памяти.",3).,Если потребуется необходимо произвести зачистку ножек.
российская федерация,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
российская федерация,"Баумана, Москва, Российская Федерация.",Н.Э.,Научный руководитель — М.А.
российская федерация,"Баумана, Москва, Российская Федерация.",Н.Э.,Политехнический молодежный журнал.
компьютер определяет,При выходе из строя компьютер определяет USB-накопитель как «неизвестное устройство» или просто его «не видит».,"Кварцевый резонатор используется для построения опорной частоты, необходимой для функционирования логики контроллера и флэш-памяти.","Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7]."
загорается световой индикатор,"Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7].",При выходе из строя компьютер определяет USB-накопитель как «неизвестное устройство» или просто его «не видит».,"Некоторыми производителями USB-накопителей реализуется механическая защита от изменений в виде переключателя (защита от записи), разрешающего или запрещающего запись."
физическое соединение,"USBразъем (интерфейс) предназначен для подключения USB-накопителя к устройствам чтения/записи, что обеспечивает физическое соединение устройства с компьютером.",1).,"Наиболее чаще используются USB 2.0, USB 3.0, USB-C и microUSB."
считывающее устройство,"Все данные записываются и хранятся в микросхеме памяти, для записи и чтения которых необходимо подключить USB-накопитель в любое считывающее устройство, где предусмотрен интерфейс USB [2].","USB-накопитель — это запоминающее устройство, используемое для хранения и записи данных с интегрированным интерфейсом USB [1].","Безусловно, на сегодняшний день USB-накопитель является одним из наиболее компактных и удобных запоминающих устройств, в котором отсутствуют движущиеся элементы, как в оптических или в жестких магнитных дисках."
считывающее устройство,Считывающее устройство Flash-reader комплекса со вставленной микросхемой памяти После осуществления указанных действий программа считывает микросхему.,5.,Сначала она будет иметь статус «неизвестной» микросхемы.
найти,"№ 12
Исследование USB-накопителей в работе судебного компьютерно-технического эксперта После завершения указанной процедуры эксперт переходит к использованию «системы решений», которая позволяет найти решение по восстановлению данных для комплекса PC-3000 flash (рис.",2017.,8).
найти,"Этот программный комплекс как незаменимое программное средство в экспертной деятельности работает на различных платформах, таких, как Windows, Linux, AIX, OS X, Solaris и др., а также позволяет найти на исследуемом объекте нужные файлы, нужную информацию.",Павлова Программный Комплекс Encase Forensic Assistant.,"Кроме того, возможности данного комплекса не ограничиваются только поиском информации, с его помощью можно найти удаленные файлы, а также просмотреть их [13]."
найти,"Кроме того, возможности данного комплекса не ограничиваются только поиском информации, с его помощью можно найти удаленные файлы, а также просмотреть их [13].","Этот программный комплекс как незаменимое программное средство в экспертной деятельности работает на различных платформах, таких, как Windows, Linux, AIX, OS X, Solaris и др., а также позволяет найти на исследуемом объекте нужные файлы, нужную информацию.",Рассмотрим принцип работы комплекса Encase Forensic.
найти,Была поставлена задача: найти пользовательские текстовые файлы (в том числе заархивированные) на USB-накопителе.,"10, 11).",Рис.
найти,"Например, с помощью комплекса PC-3000 flash можно восстановить информацию даже с поврежденных USB-устройств (при условии, что микросхема памяти не была деформирована), а при использовании комплекса Encase Forensic есть возможность быстро найти необходимую информацию.","Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи.",Для корректного восстановления данных с таких устройств эксперт должен знать внутреннюю структуру USB-накопителя и соблюдать предельную осторожность при разборе устройства.
сочетать,"Актуальность исследования USB-накопителей обусловлена их широким использованием в настоящее время, поскольку это наиболее удобные и практически незаменимые переносные устройства для хранения данных, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема информации.","Баумана, 2017 Введение.","В связи с этим данные устройства нередко становятся объектами исследования при проведении судебной компьютерно-технической экспертизы, поскольку могут содержать криминалистически важную информацию."
сочетать,"Результат исследования Обобщая все вышеизложенное, можно сделать вывод о том, что на сегодняшний день USB-накопители являются наиболее удобными и практически незаменимыми переносными устройствами для хранения и чтения/записи информации, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема данных, поэтому USB-накопитель часто становится объектом экспертного исследования в рамках проведения судебной компьютерной технической экспертизы.",19.,"Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи."
компактность,"Актуальность исследования USB-накопителей обусловлена их широким использованием в настоящее время, поскольку это наиболее удобные и практически незаменимые переносные устройства для хранения данных, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема информации.","Баумана, 2017 Введение.","В связи с этим данные устройства нередко становятся объектами исследования при проведении судебной компьютерно-технической экспертизы, поскольку могут содержать криминалистически важную информацию."
компактность,"Результат исследования Обобщая все вышеизложенное, можно сделать вывод о том, что на сегодняшний день USB-накопители являются наиболее удобными и практически незаменимыми переносными устройствами для хранения и чтения/записи информации, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема данных, поэтому USB-накопитель часто становится объектом экспертного исследования в рамках проведения судебной компьютерной технической экспертизы.",19.,"Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи."
неправильное извлечение,Одной из причин этого служит неправильное извлечение микроконтроллера из считывающего устройства.,"Зачастую, именно по его вине происходит выход из строя флэш-накопителя.","Микросхема памяти — это энергонезависимая память, которая отвечает за хранение информации и может электрически стираться и перепрограммироваться [6]."
предусмотрен интерфейс,"Все данные записываются и хранятся в микросхеме памяти, для записи и чтения которых необходимо подключить USB-накопитель в любое считывающее устройство, где предусмотрен интерфейс USB [2].","USB-накопитель — это запоминающее устройство, используемое для хранения и записи данных с интегрированным интерфейсом USB [1].","Безусловно, на сегодняшний день USB-накопитель является одним из наиболее компактных и удобных запоминающих устройств, в котором отсутствуют движущиеся элементы, как в оптических или в жестких магнитных дисках."
удалить,"Подключив устройство (для проверки первоначально рекомендуется использовать иное устройство, но не объект исследования), можем убедиться, что удалить или изменить данные не представляется возможным.",12).,Рис.
светодиод,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
светодиод,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать.","Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",Рис.
светодиод,"Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7].",При выходе из строя компьютер определяет USB-накопитель как «неизвестное устройство» или просто его «не видит».,"Некоторыми производителями USB-накопителей реализуется механическая защита от изменений в виде переключателя (защита от записи), разрешающего или запрещающего запись."
соблюдать предельную осторожность,Для корректного восстановления данных с таких устройств эксперт должен знать внутреннюю структуру USB-накопителя и соблюдать предельную осторожность при разборе устройства.,"Например, с помощью комплекса PC-3000 flash можно восстановить информацию даже с поврежденных USB-устройств (при условии, что микросхема памяти не была деформирована), а при использовании комплекса Encase Forensic есть возможность быстро найти необходимую информацию.",Литература [1] Чугунков В. Выбираем флешку.
законодатель,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал.","Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",2017.
используется память,В USB-накопителях используется память типа NAND.,"Существует несколько технологий построения структуры USBпамяти, наиболее распространенными из которых являются NOR (NOT OR) и NAND (NOT AND).","В первую очередь это обусловлено тем, что сфера использования USB-памяти типа NOR применяется для хранения небольшого объема данных (до 256 Мбайт), что недопустимо при разработке USB-накопителей, в то время как USB-память типа NAND предназначена для хранения большого объема данных."
система выдаст решение,"Система выдаст решение, которое может быть загружено, и, считав его, программа приступит к восстановлению данных.",9).,Рис.
неизвестное устройство,При выходе из строя компьютер определяет USB-накопитель как «неизвестное устройство» или просто его «не видит».,"Кварцевый резонатор используется для построения опорной частоты, необходимой для функционирования логики контроллера и флэш-памяти.","Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7]."
атака,USB-устройства: атака и защита.,Aхиллесова пята.,"Философские проблемы информационных технологий и киберпространства, 2015, № 1."
считывание,"14), произвести считывание хэш-значений и сигнатуры (рис.","13), выбрать нужное устройство (рис.",15).
считывание,"Считывание хэш-значений и сигнатур Подчеркнем, что для продолжения работы с устройством число просканированных файлов и полученные хэш-значения должны совпадать, в противном случае понадобится устранить разночтение прежде чем Рис.",15.,16.
образ,"Во-вторых, подключая носитель информации к программе, во избежание потери определенных данных или их изменения необходимо создать образ.","Во-первых, подключить USB-накопитель к блокиратору, которым, как правило, обладает каждый компьютерно-технический эксперт.","Для этого нужно выбрать Create image-Physical drive: E01–Compression (0–9)–Finish– Start, с которым эксперт может производить любые манипуляции."
образ,"Данный образ можно создать с помощью программы Forensic Toolkit(FTK), что позволит не допустить какого-либо редактирования информации непосредственно на самом носителе.",Поэтому эксперт работает непосредственно с созданным образом.,"Создав образ USB-накопителя, необходимо проверить устройство на вирусы."
образ,"Создав образ USB-накопителя, необходимо проверить устройство на вирусы.","Данный образ можно создать с помощью программы Forensic Toolkit(FTK), что позволит не допустить какого-либо редактирования информации непосредственно на самом носителе.",После успешного выполнения всех действий USB-накопитель можно отсоединить.
